;ThermoPair mV, T approx comp, T approx controller
37.026, 892.525, 892.5
37.207, 897.05, 896.938
37.388, 901.579, 901.563
37.569, 906.115, 906
37.75, 910.653, 910.625
37.931, 915.201, 915.063
38.112, 919.749, 919.688
38.293, 924.307, 924.313
38.474, 928.866, 928.813
38.655, 933.434, 933.313
38.836, 938.005, 937.938
39.017, 942.582, 942.438
39.198, 947.165, 946.938
39.379, 951.756, 951.563
39.56, 956.361, 956.063
39.741, 960.967, 960.875
39.922, 965.573, 965.5
40.103, 970.179, 970.063
40.284, 974.796, 974.688
40.465, 979.413, 979.313
40.646, 984.041, 983.875
40.827, 988.67, 988.438
41.008, 993.308, 993.125
41.189, 997.949, 997.688
41.37, 1002.6, 1002.5
41.551, 1007.27, 1007.19
41.732, 1011.93, 1011.81
41.913, 1016.6, 1016.5
42.094, 1021.27, 1021.19
42.275, 1025.94, 1025.81
42.456, 1030.62, 1030.44
42.637, 1035.32, 1035.19
42.818, 1040.03, 1039.81
42.999, 1044.73, 1044.63
43.18, 1049.43, 1049.44
43.361, 1054.15, 1054.13
43.542, 1058.88, 1058.81
43.723, 1063.6, 1063.56
43.904, 1068.33, 1068.25
44.085, 1073.07, 1072.94
44.266, 1077.82, 1077.75
44.447, 1082.58, 1082.44
44.628, 1087.34, 1087.25
44.809, 1092.11, 1092.13
44.99, 1096.89, 1096.88
45.171, 1101.67, 1101.63
45.352, 1106.46, 1106.44
45.533, 1111.25, 1111.19
45.714, 1116.05, 1115.94
45.895, 1120.85, 1120.81
46.076, 1125.68, 1125.56
46.257, 1130.51, 1130.38
46.438, 1135.35, 1135.25
46.619, 1140.19, 1140.06
46.8, 1145.04, 1144.88
46.981, 1149.89, 1149.81
47.162, 1154.77, 1154.56
47.343, 1159.65, 1159.38
47.524, 1164.54, 1164.31
47.705, 1169.43, 1169.38
47.886, 1174.34, 1174.25
48.067, 1179.24, 1179.25
48.248, 1184.17, 1184.13
48.429, 1189.1, 1189.06
48.61, 1194.04, 1194.06
48.791, 1198.99, 1198.94
48.972, 1203.96, 1203.81
49.153, 1208.93, 1208.81
49.334, 1213.91, 1213.88
49.515, 1218.9, 1218.88
49.696, 1223.91, 1223.94
49.877, 1228.92, 1228.94
50.058, 1233.94, 1233.88
50.239, 1238.97, 1239
50.42, 1244.03, 1244
50.601, 1249.1, 1248.94
50.782, 1254.17, 1254.13
50.963, 1259.24, 1259.13
51.144, 1264.35, 1264.13
