;ThermoPair mV, T approx comp, T approx controller
6.104, 685.81, 685.438
6.132, 688.476, 688
6.16, 691.143, 690.625
6.188, 693.81, 693.625
6.216, 696.476, 696.25
6.244, 699.143, 698.813
6.272, 701.81, 701.438
6.3, 704.476, 704.063
6.328, 707.143, 706.625
6.356, 709.81, 709.563
6.384, 712.476, 712.188
6.412, 715.143, 714.75
6.44, 717.81, 717.375
6.468, 720.476, 719.938
6.496, 723.143, 722.563
6.524, 725.81, 725.5
6.552, 728.476, 728.063
6.58, 731.132, 730.688
6.608, 733.774, 733.25
6.636, 736.415, 735.875
6.664, 739.057, 738.438
6.692, 741.698, 741.438
6.72, 744.34, 744
6.748, 746.981, 746.563
6.776, 749.623, 749.188
6.804, 752.243, 751.813
6.832, 754.86, 754.375
6.86, 757.477, 757.25
6.888, 760.093, 759.813
6.916, 762.71, 762.375
6.944, 765.327, 764.938
6.972, 767.944, 767.5
7, 770.561, 770.375
7.028, 773.178, 772.938
7.056, 775.794, 775.5
7.084, 778.411, 778.063
7.112, 781.019, 780.625
7.14, 783.611, 783.125
7.168, 786.204, 786.063
7.196, 788.796, 788.625
7.224, 791.389, 791.188
7.252, 793.981, 793.75
7.28, 796.574, 796.313
7.308, 799.167, 798.813
7.336, 801.743, 801.75
7.364, 804.312, 804.25
7.392, 806.881, 806.75
7.42, 809.45, 809.25
7.448, 812.018, 811.75
7.476, 814.587, 814.25
7.504, 817.156, 817.125
7.532, 819.725, 819.625
7.56, 822.273, 822.125
7.588, 824.818, 824.625
7.616, 827.364, 827.125
7.644, 829.909, 829.625
7.672, 832.477, 832.438
7.7, 835.046, 834.938
7.728, 837.615, 837.438
7.756, 840.182, 839.938
7.784, 842.727, 842.438
7.812, 845.273, 844.938
7.84, 847.818, 847.813
7.868, 850.364, 850.313
7.896, 852.909, 852.813
7.924, 855.455, 855.25
7.952, 858, 857.75
7.98, 860.545, 860.25
8.008, 863.091, 863.063
8.036, 865.636, 865.563
8.064, 868.182, 868
8.092, 870.727, 870.5
8.12, 873.273, 873
8.148, 875.818, 875.438
8.176, 878.364, 878.313
8.204, 880.901, 880.75
8.232, 883.423, 883.25
8.26, 885.946, 885.75
8.288, 888.468, 888.188
8.316, 890.991, 890.688
8.344, 893.514, 893.5
8.372, 896.036, 896
8.4, 898.559, 898.438
8.428, 901.081, 901
8.456, 903.604, 903.438
8.484, 906.126, 905.875
8.512, 908.649, 908.625
8.54, 911.161, 911.063
8.568, 913.661, 913.5
8.596, 916.161, 915.938
8.624, 918.661, 918.375
8.652, 921.161, 920.813
8.68, 923.661, 923.563
8.708, 926.161, 926
8.736, 928.661, 928.438
8.764, 931.15, 930.875
8.792, 933.628, 933.313
8.82, 936.106, 935.75
8.848, 938.584, 938.5
8.876, 941.053, 940.938
8.904, 943.509, 943.375
8.932, 945.965, 945.813
8.96, 948.421, 948.25
8.988, 950.877, 950.625
9.016, 953.333, 953.375
9.044, 955.789, 955.75
9.072, 958.246, 958.125
9.1, 960.702, 960.5
9.128, 963.158, 962.875
9.156, 965.614, 965.25
9.184, 968.07, 967.938
9.212, 970.526, 970.313
